courses,characteristics
Accountancy,service-oriented innovativeness reliability thrusworthiness vigilance organizational
Architecture,passion easy-going confidence creativity adaptability love-of-nature
Biochemistry,experimental analyzing mathematics perseverance
Business Administration,leadership team-player Communication marketting networking organizational time-management detail-oriented
Estate Management,negotiation networking intergrity problem-solving motivational communication motivation
Civil Engineering,mathematics scientific innovativeness problem-solving accuracy commitement creativity teamwork
Chemical Engineering,mathematics problem-solving creativity analytical teamwork ingenuity
Computer Engineering,critical-thinking time-management analytical detail-oriented problem-solving
Computer Science,resilience creativity problem-solving critical-thinking analytical
Electrical Engineering,mathematics science analytical communication problem-solving
Law,independent teamwork research curiosity time-management reading writing focus
Marketing,communication creativity writing teamwork leadership analytical detail-oriented
Medicine and Surgery,compassion altruism empathy accountability responsibility excellence social-responsibility humility
Mass Communication,reporting production writing communication problem-solving
Nursing,caring empathy communication stamina detail-oriented altruism
Pharmacy,science math detail-oriented good-memory patience business-oriented knowledgeable empathy
Theatre Arts,confidence resilience networking marketting flexibility teamwork organizational time-management analytical
